time_us, pwm, position, angle
965903926, 0, -0.223681, -0.391128
965913926, 0, -0.21996, -0.475951
965923926, 0, -0.215451, -0.57177
965933926, 0, -0.210792, -0.669159
965943926, 0, -0.205893, -0.758695
965953926, 0, -0.200845, -0.854513
965963926, 0, -0.196156, -0.933053
965973926, 0, -0.190919, -1.02573
965983926, 0, -0.185472, -1.11369
965993926, 0, -0.180024, -1.19695
966003926, 0, -0.174996, -1.27549
966013926, 0, -0.16941, -1.35403
966023926, 0, -0.163783, -1.43414
966033926, 0, -0.158136, -1.51268
966043926, 0, -0.15242, -1.58493
966053926, 0, -0.147202, -1.65248
966063926, 0, -0.141436, -1.72159
966073926, 0, -0.135589, -1.78914
966083926, 0, -0.129783, -1.85668
966093926, 0, -0.124506, -1.91323
966103926, 0, -0.11864, -1.97606
966113926, 0, -0.112803, -2.03418
966123926, 0, -0.106917, -2.09073
966133926, 0, -0.10163, -2.141
966143926, 0, -0.0957636, -2.19283
966153926, 0, -0.0898376, -2.24624
966163926, 0, -0.0839116, -2.29493
966173926, 0, -0.0785842, -2.33892
966183926, 0, -0.0726882, -2.38447
966193926, 0, -0.0667223, -2.42845
966203926, 0, -0.0608162, -2.47243
966213926, 0, -0.0548404, -2.51484
966223926, 0, -0.0495628, -2.55097
966233926, 0, -0.0436269, -2.59024
966243926, 0, -0.037641, -2.62951
966253926, 0, -0.031745, -2.66564
966263926, 0, -0.0263677, -2.69863
966273926, 0, -0.0204317, -2.73161
966283926, 0, -0.0146853, -2.76774
966293926, 0, -0.00957736, -2.8023
966303926, 0, -0.00602575, -2.83372
966313926, 0, -0.00248413, -2.87299
966323926, 0, 0.000369127, -2.90597
966333926, 0, 0.00286323, -2.94681
966343926, 0, 0.00493833, -2.98137
966353926, 0, 0.00669417, -3.02064
966363926, 0, 0.00809087, -3.05991
966373926, 0, 0.00927807, -3.09447
966383926, 0, 0.0102458, -3.13688
966393926, 0, 0.0110239, -3.17301
966403926, 0, 0.0114928, -3.21228
966413926, 0, 0.0117921, -3.24998
966423926, 0, 0.0119617, -3.28925
966433926, 0, 0.0120016, -3.33166
966443926, 0, 0.0120016, -3.37093
966453926, 0, 0.0120016, -3.41491
966463926, 0, 0.0120016, -3.45732
966473926, 0, 0.0120016, -3.49973
966483926, 0, 0.0120016, -3.54686
966493926, 0, 0.0120016, -3.58927
966503926, 0, 0.0120016, -3.63639
966513926, 0, 0.0120016, -3.68195
966523926, 0, 0.0120016, -3.72907
966533926, 0, 0.0120016, -3.77934
966543926, 0, 0.0120016, -3.82803
966553926, 0, 0.0120016, -3.88144
966563926, 0, 0.0120016, -3.93327
966573926, 0, 0.0120116, -3.98825
966583926, 0, 0.0120116, -4.0448
966593926, 0, 0.0120116, -4.09978
966603926, 0, 0.0120116, -4.16261
966613926, 0, 0.0120116, -4.2223
966623926, 0, 0.0120116, -4.28513
966633926, 0, 0.0120116, -4.35111
966643926, 0, 0.0120116, -4.41708
966653926, 0, 0.0120116, -4.48619
966663926, 0, 0.0120116, -4.55688
966673926, 0, 0.0120116, -4.63071
966683926, 0, 0.0120116, -4.69825
966693926, 0, 0.0120116, -4.77365
966703926, 0, 0.0120116, -4.85533
966713926, 0, 0.0120216, -4.93544
966723926, 0, 0.0120216, -5.01869
966733926, 0, 0.0120216, -5.10509
966743926, 0, 0.011852, -5.19148
966753926, 0, 0.0107346, -5.28102
966763926, 0, 0.00910847, -5.36898
966773926, 0, 0.00647469, -5.46009
966783926, 0, 0.00328224, -5.55119
966793926, 0, -0.000478868, -5.64544
966803926, 0, -0.00411028, -5.72398
966813926, 0, -0.00856974, -5.82137
966823926, 0, -0.0132986, -5.91405
966833926, 0, -0.0181671, -6.00515
966843926, 0, -0.023275, -6.10411
966853926, 0, -0.0280437, -6.18423
966863926, 0, -0.033421, -6.28161
966873926, 0, -0.0388681, -6.37272
966883926, 0, -0.0445148, -6.46697
966893926, 0, -0.0494232, -6.55022
966903926, 0, -0.0552294, -6.6429
966913926, 0, -0.0610158, -6.734
966923926, 0, -0.0668121, -6.82354
966933926, 0, -0.0720297, -6.90208
966943926, 0, -0.0778659, -6.99004
966953926, 0, -0.0837919, -7.07487
966963926, 0, -0.0897279, -7.15812
966973926, 0, -0.0951451, -7.23352
966983926, 0, -0.101091, -7.31206
966993926, 0, -0.107127, -7.39217
967003926, 0, -0.113113, -7.46599
967013926, 0, -0.11831, -7.53354
967023926, 0, -0.123059, -7.6058
967033926, 0, -0.126531, -7.67491
967043926, 0, -0.129344, -7.74403
967053926, 0, -0.13133, -7.80843
967063926, 0, -0.132736, -7.8744
967073926, 0, -0.133614, -7.93409
967083926, 0, -0.134153, -7.99378
967093926, 0, -0.134512, -8.05033
967103926, 0, -0.134692, -8.10374
967113926, 0, -0.134771, -8.15243
967123926, 0, -0.134771, -8.20113
967133926, 0, -0.134771, -8.24982
967143926, 0, -0.134771, -8.29695
967153926, 0, -0.134771, -8.33936
967163926, 0, -0.134771, -8.38334
967173926, 0, -0.134771, -8.42261
967183926, 0, -0.134771, -8.46188
967193926, 0, -0.134771, -8.49801
967203926, 0, -0.134771, -8.53257
967213926, 0, -0.134771, -8.56555
967223926, 0, -0.134771, -8.59697
967233926, 0, -0.134771, -8.62681
967243926, 0, -0.134771, -8.65509
967253926, 0, -0.134771, -8.68022
967263926, 0, -0.134771, -8.70692
967273926, 0, -0.134771, -8.72892
967283926, 0, -0.134771, -8.75248
967293926, 0, -0.134771, -8.7729
967303926, 0, -0.134771, -8.79175
967313926, 0, -0.134771, -8.8106
967323926, 0, -0.134771, -8.8263
967333926, 0, -0.134771, -8.84201
967343926, 0, -0.134771, -8.85772
967353926, 0, -0.134771, -8.87029
967363926, 0, -0.134771, -8.88285
967373926, 0, -0.134712, -8.89228
967383926, 0, -0.134342, -8.90013
967393926, 0, -0.133574, -8.90799
967403926, 0, -0.132068, -8.91427
967413926, 0, -0.130003, -8.91427
967423926, 0, -0.127189, -8.91741
967433926, 0, -0.123797, -8.9127
967443926, 0, -0.119907, -8.91113
967453926, 0, -0.115716, -8.90484
967463926, 0, -0.111646, -8.89699
967473926, 0, -0.106917, -8.88914
967483926, 0, -0.101909, -8.875
967493926, 0, -0.0967812, -8.864
967503926, 0, -0.0915735, -8.84987
967513926, 0, -0.0866651, -8.83573
967523926, 0, -0.081208, -8.82159
967533926, 0, -0.0756911, -8.80274
967543926, 0, -0.0700444, -8.78389
967553926, 0, -0.0644277, -8.7619
967563926, 0, -0.0595293, -8.74305
967573926, 0, -0.0553392, -8.72263
967583926, 0, -0.0518674, -8.70221
967593926, 0, -0.0493134, -8.67865
967603926, 0, -0.0473481, -8.6598
967613926, 0, -0.0459115, -8.63467
967623926, 0, -0.0448839, -8.61268
967633926, 0, -0.0442354, -8.59069
967643926, 0, -0.0438463, -8.56555
967653926, 0, -0.0436169, -8.54199
967663926, 0, -0.0435271, -8.51215
967673926, 0, -0.0435271, -8.48387
967683926, 0, -0.0435271, -8.45246
967693926, 0, -0.0435271, -8.4179
967703926, 0, -0.0435271, -8.38491
967713926, 0, -0.0435271, -8.34564
967723926, 0, -0.0435271, -8.30794
967733926, 0, -0.0435171, -8.2671
967743926, 0, -0.0435171, -8.22312
967753926, 0, -0.0435171, -8.18071
967763926, 0, -0.0435171, -8.13201
967773926, 0, -0.0435171, -8.08332
967783926, 0, -0.0435271, -8.03462
967793926, 0, -0.0435271, -7.97965
967803926, 0, -0.0435271, -7.92624
967813926, 0, -0.0435271, -7.86812
967823926, 0, -0.0435271, -7.81
967833926, 0, -0.0435271, -7.74874
967843926, 0, -0.0435271, -7.68434
967853926, 0, -0.0435271, -7.61836
967863926, 0, -0.0435271, -7.55082
967873926, 0, -0.0435271, -7.48013
967883926, 0, -0.0435271, -7.40945
967893926, 0, -0.0435271, -7.33562
967903926, 0, -0.0435271, -7.26022
967913926, 0, -0.0435171, -7.19111
967923926, 0, -0.0434972, -7.11257
967933926, 0, -0.0434772, -7.03088
967943926, 0, -0.0434672, -6.95077
967953926, 0, -0.0434473, -6.86752
967963926, 0, -0.0434273, -6.7827
967973926, 0, -0.0434074, -6.69945
967983926, 0, -0.0434074, -6.61305
967993926, 0, -0.0434074, -6.52666
968003926, 0, -0.0434074, -6.44026
968013926, 0, -0.0434074, -6.35387
968023926, 0, -0.0436568, -6.26591
968033926, 0, -0.0450535, -6.17637
968043926, 0, -0.0471984, -6.08055
968053926, 0, -0.0501415, -5.99259
968063926, 0, -0.0533239, -5.90305
968073926, 0, -0.0572247, -5.81352
968083926, 0, -0.0616143, -5.71927
968093926, 0, -0.0662035, -5.62188
968103926, 0, -0.0711119, -5.53234
968113926, 0, -0.0755514, -5.44595
968123926, 0, -0.080809, -5.36113
968133926, 0, -0.0861064, -5.27002
968143926, 0, -0.0915236, -5.1852
968153926, 0, -0.0969408, -5.10195
968163926, 0, -0.10147, -5.02655
968173926, 0, -0.105002, -4.94958
968183926, 0, -0.107795, -4.87261
968193926, 0, -0.109691, -4.79878
968203926, 0, -0.111047, -4.72967
968213926, 0, -0.111856, -4.66055
968223926, 0, -0.112364, -4.59615
968233926, 0, -0.112604, -4.53332
968243926, 0, -0.112743, -4.47677
968253926, 0, -0.112753, -4.41865
968263926, 0, -0.112753, -4.36053
968273926, 0, -0.112753, -4.30712
968283926, 0, -0.112753, -4.25372
968293926, 0, -0.112753, -4.20188
968303926, 0, -0.112753, -4.15319
968313926, 0, -0.112753, -4.10449
968323926, 0, -0.112753, -4.06051
968333926, 0, -0.112753, -4.0181
968343926, 0, -0.112753, -3.97411
968353926, 0, -0.112753, -3.93642
968363926, 0, -0.112753, -3.89715
968373926, 0, -0.112753, -3.85945
968383926, 0, -0.112753, -3.82489
968393926, 0, -0.112753, -3.79033
968403926, 0, -0.112753, -3.75892
968413926, 0, -0.112753, -3.72593
968423926, 0, -0.112753, -3.69765
968433926, 0, -0.112753, -3.66781
968443926, 0, -0.112753, -3.63954
968453926, 0, -0.112753, -3.6144
968463926, 0, -0.112753, -3.5877
968473926, 0, -0.112753, -3.56414
968483926, 0, -0.112753, -3.539
968493926, 0, -0.112753, -3.51544
968503926, 0, -0.112753, -3.49502
968513926, 0, -0.112753, -3.4746
968523926, 0, -0.112753, -3.45575
968533926, 0, -0.112753, -3.43376
968543926, 0, -0.112753, -3.41491
968553926, 0, -0.112753, -3.39606
968563926, 0, -0.112753, -3.37721
