pwm, time_us, position, angle
50, 3680234823, -0.0952149, -0.0172788
50, 3680239823, -0.0947959, -0.015708
50, 3680244823, -0.0943869, -0.015708
50, 3680249823, -0.0939978, -0.0141372
50, 3680254823, -0.0935788, -0.0125664
50, 3680259823, -0.0931598, -0.0125664
50, 3680264823, -0.0927607, -0.0109956
50, 3680269823, -0.0923517, -0.00942478
50, 3680274823, -0.0919227, -0.00785398
50, 3680279823, -0.0914937, -0.00628319
50, 3680284823, -0.0910847, -0.00628319
50, 3680289823, -0.0906756, -0.00471239
50, 3680294823, -0.0902666, -0.00314159
50, 3680299823, -0.0898576, -0.0015708
50, 3680304823, -0.0894286, -0.0015708
50, 3680309823, -0.0890096, 0
50, 3680314823, -0.0886005, 0.0015708
50, 3680319823, -0.0882713, 0.0015708
50, 3680324823, -0.0878723, 0.00314159
50, 3680329823, -0.0874832, 0.00471239
50, 3680334823, -0.0870742, 0.00628319
50, 3680339823, -0.0866751, 0.00628319
50, 3680344823, -0.086276, 0.00785398
50, 3680349823, -0.085887, 0.00942478
50, 3680354823, -0.0855079, 0.0109956
50, 3680359823, -0.0851188, 0.0125664
50, 3680364823, -0.0847297, 0.0125664
50, 3680369823, -0.0843506, 0.0141372
50, 3680374823, -0.0839615, 0.015708
50, 3680379823, -0.0835724, 0.0172788
50, 3680384823, -0.0831734, 0.0172788
50, 3680389823, -0.0827643, 0.0188496
50, 3680394823, -0.0823753, 0.0204204
50, 3680399823, -0.0819862, 0.0219911
50, 3680404823, -0.0815771, 0.0219911
50, 3680409823, -0.0811681, 0.0235619
50, 3680414823, -0.0807391, 0.0251327
50, 3680419823, -0.0803301, 0.0251327
50, 3680424823, -0.079931, 0.0267035
50, 3680429823, -0.079522, 0.0267035
50, 3680434823, -0.079093, 0.0282743
50, 3680439823, -0.0786541, 0.0298451
50, 3680444823, -0.078245, 0.0298451
50, 3680449823, -0.077836, 0.0314159
50, 3680454823, -0.077407, 0.0314159
50, 3680459823, -0.076978, 0.0329867
50, 3680464823, -0.076549, 0.0329867
50, 3680469823, -0.07613, 0.0345575
50, 3680474823, -0.075701, 0.0345575
50, 3680479823, -0.0752621, 0.0361283
50, 3680484823, -0.0748431, 0.0361283
50, 3680489823, -0.074434, 0.0376991
50, 3680494823, -0.074035, 0.0376991
50, 3680499823, -0.0736259, 0.0392699
50, 3680504823, -0.0732069, 0.0392699
50, 3680509823, -0.0728777, 0.0408407
50, 3680514823, -0.0724687, 0.0408407
50, 3680519823, -0.0720596, 0.0408407
50, 3680524823, -0.0716606, 0.0424115
50, 3680529823, -0.0712316, 0.0424115
50, 3680534823, -0.0708126, 0.0424115
50, 3680539823, -0.0704036, 0.0439823
50, 3680544823, -0.0700145, 0.0439823
50, 3680549823, -0.0695855, 0.0439823
50, 3680554823, -0.0691565, 0.0439823
50, 3680559823, -0.0687375, 0.0455531
50, 3680564823, -0.0683285, 0.0455531
50, 3680569823, -0.0678995, 0.0455531
50, 3680574823, -0.0674406, 0.0455531
50, 3680579823, -0.0670216, 0.0471239
50, 3680584823, -0.0665926, 0.0455531
50, 3680589823, -0.0661436, 0.0471239
50, 3680594823, -0.0657047, 0.0471239
50, 3680599823, -0.0652757, 0.0471239
50, 3680604823, -0.0648467, 0.0471239
50, 3680609823, -0.0644077, 0.0471239
50, 3680614823, -0.0639688, 0.0471239
50, 3680619823, -0.0635398, 0.0471239
50, 3680624823, -0.0630908, 0.0471239
50, 3680629823, -0.0626419, 0.0471239
50, 3680634823, -0.0622329, 0.0471239
50, 3680639823, -0.0618139, 0.0471239
50, 3680644823, -0.0613749, 0.0471239
50, 3680649823, -0.0609359, 0.0471239
50, 3680654823, -0.0605269, 0.0471239
50, 3680659823, -0.0601279, 0.0471239
50, 3680664823, -0.0596989, 0.0471239
50, 3680669823, -0.0592898, 0.0471239
50, 3680674823, -0.0588908, 0.0471239
50, 3680679823, -0.0584917, 0.0455531
50, 3680684823, -0.0581525, 0.0455531
50, 3680689823, -0.0577535, 0.0455531
50, 3680694823, -0.0573644, 0.0455531
50, 3680699823, -0.0569554, 0.0455531
50, 3680704823, -0.0565463, 0.0455531
50, 3680709823, -0.0561473, 0.0455531
50, 3680714823, -0.0557482, 0.0439823
50, 3680719823, -0.0553392, 0.0439823
50, 3680724823, -0.0549202, 0.0439823
50, 3680729823, -0.0545111, 0.0439823
50, 3680734823, -0.0541121, 0.0424115
50, 3680739823, -0.0536931, 0.0424115
50, 3680744823, -0.0532741, 0.0424115
50, 3680749823, -0.052865, 0.0408407
50, 3680754823, -0.052456, 0.0408407
50, 3680759823, -0.052047, 0.0408407
50, 3680764823, -0.0516379, 0.0392699
50, 3680769823, -0.0512389, 0.0392699
50, 3680774823, -0.0508099, 0.0376991
50, 3680779823, -0.0504008, 0.0376991
50, 3680784823, -0.0500018, 0.0376991
50, 3680789823, -0.0495828, 0.0361283
50, 3680794823, -0.0491737, 0.0361283
50, 3680799823, -0.0487747, 0.0361283
50, 3680804823, -0.0483557, 0.0345575
50, 3680809823, -0.0479566, 0.0345575
50, 3680814823, -0.0475576, 0.0329867
50, 3680819823, -0.0471685, 0.0314159
50, 3680824823, -0.0467595, 0.0314159
50, 3680829823, -0.0463704, 0.0314159
50, 3680834823, -0.0459913, 0.0298451
50, 3680839823, -0.0456022, 0.0298451
50, 3680844823, -0.0452131, 0.0282743
50, 3680849823, -0.044824, 0.0282743
50, 3680854823, -0.0444549, 0.0267035
50, 3680859823, -0.0440758, 0.0267035
50, 3680864823, -0.0436867, 0.0251327
50, 3680869823, -0.0432877, 0.0251327
50, 3680874823, -0.0429684, 0.0235619
50, 3680879823, -0.0425594, 0.0219911
50, 3680884823, -0.0421603, 0.0219911
